fecha,UI,abierto/cerrado,ao
2017-08-17,-115.55250000000001,0.0,0.0
2017-08-18,5921.4,0.0,0.0
2017-08-19,5028.15,0.0,0.0
2017-08-20,534.2435,0.0,0.0
2017-08-21,-309.09999999999997,0.0,55.6
2017-08-22,1288.0325,0.0,55.6
2017-08-23,4690.125,0.0,55.6
2017-08-24,37.37524999999998,0.0,76.7
2017-08-25,-882.2775,0.0,76.7
2017-08-26,-129.0931225,0.0,76.7
2017-08-27,3.1325000000000003,0.0,76.7
2017-08-28,2319.27,0.0,76.7
2017-08-29,2494.425,0.0,136.0
2017-08-30,3064.55,0.0,147.2
2017-08-31,4719.875,1.0,147.2
2017-09-01,4535.175,1.0,213.6
2017-09-02,-76.42250000000001,1.0,213.6
2017-09-03,-471.7895,1.0,213.6
2017-09-04,-328.417,1.0,213.6
2017-09-05,5206.25,1.0,213.6
2017-09-06,5660.525,1.0,422.6
2017-09-07,3119.5424999999996,1.0,422.6
2017-09-08,192.437,1.0,422.6
2017-09-09,11.259999999999991,1.0,422.6
2017-09-10,-191.40375,1.0,422.6
2017-09-11,-515.032,1.0,422.6
2017-09-12,-138.65175,1.0,422.6
2017-09-13,940.644775,1.0,183.3
2017-09-14,2217.0725,1.0,183.3
2017-09-15,1079.999875,1.0,183.3
2017-09-16,211.19387500000002,1.0,183.3
2017-09-17,-739.53275,1.0,183.3
2017-09-18,162.07475,1.0,183.3
2017-09-19,371.8315,1.0,183.3
2017-09-20,1013.055,1.0,183.3
2017-09-21,5968.975,1.0,244.9
2017-09-22,1531.83,1.0,244.9
2017-09-23,-4747.525,1.0,244.9
2017-09-24,-1832.5774999999999,1.0,244.9
2017-09-25,311.90549999999996,1.0,244.9
2017-09-26,-1859.6,1.0,244.9
2017-09-27,-758.59,1.0,244.9
2017-09-28,-1910.205,1.0,476.3
2017-09-29,1570.6525000000001,1.0,476.3
2017-09-30,120.48360000000001,1.0,476.3
2017-10-01,1288.9650000000001,1.0,476.3
2017-10-02,1711.73,1.0,476.3
2017-10-03,1377.2605,1.0,476.3
2017-10-04,-51.64450000000001,1.0,476.3
2017-10-05,840.0999999999999,1.0,254.6
2017-10-06,1478.893,1.0,254.6
2017-10-07,196.63250000000002,1.0,254.6
2017-10-08,124.35125000000001,1.0,254.6
2017-10-09,466.9375,1.0,254.6
2017-10-10,-230.69375,1.0,254.6
2017-10-11,137.00135,1.0,254.6
2017-10-12,255.651,1.0,254.6
2017-10-13,-180.12125000000003,1.0,254.6
2017-10-14,-2096.4625,1.0,254.6
2017-10-15,-1706.8799999999999,1.0,254.6
2017-10-16,717.4499999999999,1.0,254.6
2017-10-17,-1148.79,1.0,254.6
2017-10-18,-2120.2125,1.0,254.6
2017-10-19,-1541.4212499999999,1.0,724.1
2017-10-20,-1604.689,1.0,724.1
2017-10-21,-41.34525,1.0,724.1
2017-10-22,533.45,1.0,724.1
2017-10-23,150.79025000000001,1.0,724.1
2017-10-24,-524.2,1.0,724.1
2017-10-25,-1438.1625,1.0,910.6
2017-10-26,11.746750000000002,1.0,910.6
2017-10-27,1225.5575,1.0,910.6
2017-10-28,1285.82,1.0,910.6
2017-10-29,3378.3,1.0,910.6
2017-10-30,1642.09825,1.0,910.6
2017-10-31,-1816.3425,1.0,910.6
2017-11-01,-1342.125,1.0,910.6
2017-11-02,-2039.025,1.0,910.6
2017-11-03,1094.35,1.0,910.6
2017-11-04,1297.289,1.0,910.6
2017-11-05,199.950125,1.0,910.6
2017-11-06,588.01775,1.0,910.6
2017-11-07,869.2575,1.0,910.6
2017-11-08,342.54225,1.0,910.6
2017-11-09,846.446825,1.0,910.6
2017-11-10,743.38975,1.0,272.3
2017-11-11,300.72954999999996,1.0,272.3
2017-11-12,489.0155,1.0,272.3
2017-11-13,999.54,1.0,272.3
2017-11-14,-37.55749999999999,1.0,272.3
2017-11-15,-279.921,1.0,211.7
2017-11-16,230.2095,1.0,211.7
2017-11-17,206.376,1.0,211.7
2017-11-18,101.638575,1.0,211.7
2017-11-19,-305.53274999999996,1.0,211.7
2017-11-20,-1469.4125,1.0,102.2
2017-11-21,-3107.425,1.0,102.2
2017-11-22,-3114.75,1.0,140.9333333333333
2017-11-23,-2324.5099999999998,1.0,140.9333333333333
2017-11-24,1960.6225,1.0,140.9333333333333
2017-11-25,2881.315,1.0,140.9333333333333
2017-11-26,-106.915,1.0,140.9333333333333
2017-11-27,-186.902,1.0,140.9333333333333
2017-11-28,762.5550000000001,1.0,69.8
2017-11-29,465.0853,1.0,69.8
2017-11-30,363.2555,1.0,83.7
2017-12-01,249.56629999999998,1.0,83.7
2017-12-02,281.75025,0.0,83.7
2017-12-03,-72.53999999999999,0.0,83.7
2017-12-04,-271.0195,0.0,110.0
2017-12-05,-583.185,0.0,110.0
2017-12-06,-4376.35,0.0,110.0
2017-12-07,-1062.9299999999998,0.0,110.0
2017-12-08,-117.002775,0.0,110.0
2017-12-09,-3484.7250000000004,0.0,110.0
2017-12-10,128.64100000000008,0.0,110.0
2017-12-11,349.3505,0.0,110.0
2017-12-12,-1957.5325,0.0,101.0
2017-12-13,-1434.3575,0.0,101.0
2017-12-14,120.655,0.0,101.0
2017-12-15,181.79865,0.0,101.0
2017-12-16,72.49825,0.0,101.0
2017-12-17,-85.90475,0.0,101.0
2017-12-18,590.0425,0.0,50.5
2017-12-19,684.02825,0.0,50.5
2017-12-20,2.2162500000000023,0.0,50.5
2017-12-21,36.46275,0.0,50.5
2017-12-22,1146.6715,0.0,50.5
2017-12-23,-401.80649999999997,0.0,50.5
2017-12-24,-3301.5575,0.0,50.5
2017-12-25,-2041.1915250000002,0.0,50.5
2017-12-26,-718.215,0.0,50.5
2017-12-27,-473.12149999999997,0.0,50.5
2017-12-28,-1029.195,0.0,0.0
2017-12-29,-3022.2,0.0,0.0
2017-12-30,-6303.3475,0.0,0.0
2017-12-31,-3164.4750000000004,0.0,0.0
