Ano,Mes,Dia,Hora,U,V,UI
2010,4,27,6,0.1424,0.62382,-6.7241
2010,4,27,12,-1.0668,-1.1047,28.58
2010,4,27,18,-5.5514,-5.132,653.59
2010,4,28,0,-2.9602,-3.7338,299.7
2010,4,28,6,-5.8309,-5.9549,836.03
2010,4,28,12,-5.3614,-6.1151,837.76
2010,4,28,18,4.0021,-3.1433,269.46
2010,4,29,0,-0.56711,-5.3851,491.2
2010,4,29,6,4.6964,-0.36935,29.31
2010,4,29,12,2.1537,0.34352,-12.62
2010,4,29,18,0.40113,-2.4104,99.221
2010,4,30,0,-1.053,-3.2299,184.84
2010,4,30,6,-2.316,-3.5333,251.46
2010,4,30,12,1.3268,-2.4231,112.77
2010,4,30,18,1.4425,-2.4151,114.45
2010,5,1,0,-1.0299,-2.7582,136.8
2010,5,1,6,-0.62254,-3.7624,241.71
2010,5,1,12,-0.52828,-6.0915,627.42
2010,5,1,18,-3.4024,-10.011,1783.2
2010,5,2,0,-3.8213,-5.1735,560.52
2010,5,2,6,-3.7649,-4.2792,410.86
2010,5,2,12,-3.5601,-10.093,1819.5
2010,5,2,18,-5.2117,-9.864,1853.8
2010,5,3,0,-6.0904,-8.4452,1481.3
2010,5,3,6,-6.5988,-7.1146,1163
2010,5,3,12,-7.604,-12.174,2943.5
2010,5,3,18,-7.5131,-9.5614,1958.6
2010,5,4,0,-8.2194,-6.8547,1235.8
2010,5,4,6,-7.0714,-5.3864,806.57
2010,5,4,12,-8.3538,-11.126,2607.7
2010,5,4,18,-11.764,-11.652,3249.9
2010,5,5,0,-7.709,-6.3862,1076.9
2010,5,5,6,-6.9374,-3.98,536.22
2010,5,5,12,-8.2088,-11.018,2550.1
2010,5,5,18,-14.125,-12.895,4154.3
2010,5,6,0,-16.276,-8.9565,2803
2010,5,6,6,-16.333,-10.474,3423.2
2010,5,6,12,-5.2912,-11.66,2514.9
2010,5,6,18,-5.3267,-11.713,2538.9
2010,5,7,0,0.84095,-2.083,78.822
2010,5,7,6,4.1868,0.50605,-35.95
2010,5,7,12,4.6206,-3.6196,357.88
2010,5,7,18,4.6203,-2.1522,184.79
2010,5,8,0,3.8796,0.18922,-12.381
2010,5,8,6,4.3424,0.94196,-70.506
2010,5,8,12,-1.619,-0.24333,6.7107
2010,5,8,18,-11.945,-4.4271,950.07
2010,5,9,0,-4.8349,-4.5672,511.7
2010,5,9,6,23.426,-0.87371,345.03
2010,5,9,12,23.204,5.8851,-2373.2
2010,5,9,18,30.564,10.256,-5569.8
2010,5,10,0,34.295,10.306,-6216.8
2010,5,10,6,15.35,0.37524,-97.058
2010,5,10,12,8.2234,-2.6665,388.32
2010,5,10,18,4.346,-5.0358,564.29
2010,5,11,0,-1.0181,-3.5361,219.19
2010,5,11,6,-5.6213,-5.4617,721.11
2010,5,11,12,-3.3808,-10.324,1889.2
2010,5,11,18,-4.825,-11.235,2314
2010,5,12,0,-3.6477,-4.069,374.57
2010,5,12,6,-1.3736,-3.0398,170.82
2010,5,12,12,0.64582,-8.4791,1214.6
2010,5,12,18,-6.2836,-11.581,2570.3
2010,5,13,0,-8.281,-5.4608,912.48
2010,5,13,6,-7.7323,-5.051,785.85
2010,5,13,12,-2.1325,-8.2032,1171.2
2010,5,13,18,-2.1575,-9.3006,1495.8
2010,5,14,0,2.3881,-1.1184,49.681
2010,5,14,6,7.8878,-0.067494,8.9684
2010,5,14,12,6.4644,-5.9865,888.5
2010,5,14,18,3.1407,-5.7725,639.02
2010,5,15,0,1.9448,-4.9967,451.32
2010,5,15,6,1.239,-2.953,159.3
2010,5,15,12,0.1672,-5.9317,592.95
2010,5,15,18,-2.9637,-7.951,1136.5
2010,5,16,0,-4.6788,-3.1739,302.29
2010,5,16,6,-3.0881,-2.7069,187.25
2010,5,16,12,-2.7135,-8.9899,1422.1
2010,5,16,18,-8.5181,-12.448,3162.9
2010,5,17,0,-10.51,-9.0765,2123.3
2010,5,17,6,-6.9404,-5.41,801.96
2010,5,17,12,-0.54687,-4.2242,303.09
2010,5,17,18,2.0161,-3.404,226.85
2010,5,18,0,-1.2297,-4.8762,413.07
2010,5,18,6,-1.4077,-4.3369,333.12
2010,5,18,12,1.5542,-2.5968,132.38
2010,5,18,18,1.1094,-4.1166,295.66
2010,5,19,0,-5.5287,-6.7071,982.05
