fecha,ao,abierto/cerrado
2018-08-01,90.7491605939384,1.0
2018-08-02,102.08046922099614,1.0
2018-08-03,116.27759776911746,1.0
2018-08-04,133.16399507145968,1.0
2018-08-05,152.06612106669806,0.0
2018-08-06,172.37077671809865,0.0
2018-08-07,193.83792957389647,0.0
2018-08-08,216.4170317005187,0.0
2018-08-09,239.41478354291465,0.0
2018-08-10,264.2928793332003,0.0
2018-08-11,290.74134513311213,0.0
2018-08-12,317.9608343749495,0.0
2018-08-13,345.2220980228787,0.0
2018-08-14,372.1809720874483,0.0
2018-08-15,398.6968289220666,0.0
2018-08-16,424.0023917924517,0.0
2018-08-17,449.5033920422517,0.0
2018-08-18,474.8536230718133,0.0
2018-08-19,499.2387003098041,0.0
2018-08-20,521.9366915924338,0.0
2018-08-21,542.6339127197375,0.0
2018-08-22,561.2437930956149,0.0
2018-08-23,577.0766774197227,0.0
2018-08-24,591.639018605913,0.0
2018-08-25,604.7075025120159,0.0
2018-08-26,615.6114114084287,0.0
2018-08-27,623.7914002875148,0.0
2018-08-28,629.1130026295539,0.0
2018-08-29,631.6828044107202,0.0
2018-08-30,631.0151977511991,0.0
2018-08-31,628.8282255244922,0.0
2018-09-01,625.1141232137093,0.0
2018-09-02,619.4179387257697,0.0
2018-09-03,611.3924843877012,0.0
2018-09-04,601.1080222372581,0.0
2018-09-05,588.8647081235416,0.0
2018-09-06,574.3557927233394,0.0
2018-09-07,559.46017517557,0.0
2018-09-08,544.3099953800233,0.0
2018-09-09,528.5667185997644,0.0
2018-09-10,511.9740306164544,0.0
2018-09-11,494.6659978151736,0.0
2018-09-12,476.9785586112497,0.0
2018-09-13,458.6123715724808,0.0
2018-09-14,441.4256285981992,0.0
2018-09-15,425.50251672538207,0.0
2018-09-16,410.4307644443606,0.0
2018-09-17,395.8565580105541,0.0
2018-09-18,381.79523504171766,0.0
2018-09-19,368.4457614923153,0.0
2018-09-20,355.3569452576635,0.0
2018-09-21,344.22391268819376,0.0
2018-09-22,334.9604416089211,0.0
2018-09-23,326.9804911776454,0.0
2018-09-24,319.7571154437905,0.0
2018-09-25,313.13706879335723,0.0
2018-09-26,307.159012422868,0.0
2018-09-27,301.2231828929157,0.0
2018-09-28,296.89096406589834,0.0
2018-09-29,293.95988056899847,0.0
2018-09-30,291.7472892344512,0.0
2018-10-01,289.65090480794123,0.0
2018-10-02,287.46443223699043,0.0
2018-10-03,285.1961944880709,0.0
2018-10-04,282.2386129899449,0.0
2018-10-05,280.16699440380705,0.0
2018-10-06,278.81317027124874,0.0
2018-10-07,277.5473096312576,0.0
2018-10-08,275.8360985624031,0.0
2018-10-09,273.55562905624464,0.0
2018-10-10,270.80696675161107,0.0
2018-10-11,267.08234345524585,0.0
2018-10-12,264.0605227580139,0.0
2018-10-13,261.67698305025976,0.0
2018-10-14,259.4023362051527,0.0
2018-10-15,256.7972717499131,0.0
2018-10-16,253.82245981122105,0.0
2018-10-17,250.6514657263117,0.0
2018-10-18,246.8346957694004,0.0
2018-10-19,244.0929839410612,0.0
2018-10-20,242.38651216981333,0.0
2018-10-21,241.19251531857952,0.0
2018-10-22,240.0600781153176,0.0
2018-10-23,238.9204583107937,0.0
2018-10-24,237.90097369339568,0.0
2018-10-25,236.49044133559943,0.0
2018-10-26,236.55862009643428,0.0
2018-10-27,237.7558539311341,0.0
2018-10-28,239.4651665350393,0.0
2018-10-29,241.1361627527144,0.0
2018-10-30,242.59851768890567,0.0
2018-10-31,243.87911056568333,0.0
2018-11-01,244.3706959383777,0.0
2018-11-02,245.63058100039893,0.0
2018-11-03,247.45484978948892,0.0
2018-11-04,249.16142818836056,0.0
2018-11-05,250.1501378949937,0.0
2018-11-06,250.2180178375801,0.0
2018-11-07,249.3778024131337,0.0
2018-11-08,247.0274085010532,0.0
2018-11-09,244.7488745268779,0.0
2018-11-10,242.38228287030995,0.0
2018-11-11,239.30796619037244,0.0
2018-11-12,235.0051685274761,0.0
2018-11-13,229.36547768647029,0.0
2018-11-14,222.5089705640247,0.0
2018-11-15,213.9509884027791,0.0
2018-11-16,205.39806116559325,0.0
2018-11-17,196.81859694642523,0.0
2018-11-18,187.72172789778745,0.0
2018-11-19,177.7125781207217,0.0
2018-11-20,166.8023655827765,0.0
2018-11-21,155.22137353367526,0.0
2018-11-22,142.58279777282496,0.0
2018-11-23,130.6760713528141,0.0
2018-11-24,119.5353557008968,0.0
2018-11-25,108.71665130146496,0.0
2018-11-26,97.8518419036228,0.0
2018-11-27,86.95811832328195,0.0
2018-11-28,76.25083585266111,0.0
2018-11-29,65.30781420887108,0.0
2018-11-30,55.86366817154381,0.0
2018-12-01,47.87982885800241,0.0
2018-12-02,40.82366500810412,0.0
2018-12-03,34.22496100943613,0.0
2018-12-04,27.9881287063258,0.0
2018-12-05,22.208128177204344,0.0
2018-12-06,16.338020060991454,0.0
2018-12-07,11.98664618994988,0.0
2018-12-08,8.992004666503135,0.0
2018-12-09,6.703635211224707,0.0
2018-12-10,4.542180904408895,0.0
2018-12-11,2.314418267652627,0.0
2018-12-12,0.031653698584563,0.0
2018-12-13,-2.920658233962598,0.0
2018-12-14,-4.983632972671558,0.0
2018-12-15,-6.350486087374179,0.0
2018-12-16,-7.683586452994547,0.0
2018-12-17,-9.554877982341084,0.0
2018-12-18,-12.13137397789859,0.0
2018-12-19,-15.357806687872596,0.0
2018-12-20,-19.78854237824117,0.0
2018-12-21,-23.790272358273626,0.0
2018-12-22,-27.469895246178453,0.0
2018-12-23,-31.394230967349102,0.0
2018-12-24,-36.03333297131414,0.0
2018-12-25,-41.4490176821426,0.0
2018-12-26,-47.4806051742832,0.0
2018-12-27,-54.579891831288165,0.0
2018-12-28,-61.01677751801299,0.0
2018-12-29,-66.80987883070233,0.0
2018-12-30,-72.44869179740556,0.0
2018-12-31,-78.33900219577941,0.0
